name,type,subtype_or_category,utility_type,parent_name,description,serial_number,location,installation_date
S1,Meter,Main,electricity,,Licznik główny Kod: E2_87441833,87441833,,
S2,Meter,Main,electricity,,Licznik główny Kod: E2_50939229,50939229,,
LA14,Meter,Submeter,electricity,S1,Licznik odbiorów ADM,14310499,ROZDZIELNIA GŁÓWNA (k-1),
L15,Meter,Submeter,electricity,S1,Licznik  ADM na kondygnacji (-1 ,14390026,K-1,
L18,Meter,Submeter,electricity,S1,Licznik  wymiennikowni ciepła,14390171,ROZDZIELNIA GŁÓWNA (k-1),
L19,Meter,Submeter,electricity,S1,Licznik  Centrala telefoniczna,14390215,ROZDZIELNIA GŁÓWNA (k-1),
L24,Meter,Submeter,electricity,S1,Licznik  garazu wielopoziomowego,14390044,ROZDZIELNIA GŁÓWNA (k-1),
L25,Meter,Submeter,electricity,S1,Licnzik  oświetlenia i gniazd na kondygnacji technicznej,14390051,ROZDZIELNIA GŁÓWNA (k-1),
L29,Meter,Submeter,electricity,S1,Licznik  hydroforu pożarowego,14390155,ROZDZIELNIA GŁÓWNA (k-1),
KR0202RPW,Meter,Submeter,electricity,S1,Licznik  potrzeb własnych w rozdzielni głównej NN( w tym zasilanie klimatyzatorów trafo ,14250024,ROZDZIELNIA GŁÓWNA (k-1),
L32,Meter,Submeter,electricity,S1,Licznik  central wentylacyjnych,14390043,ROZDZIELNIA GŁÓWNA (k-1),
L86,Meter,Submeter,electricity,S1,Licznik  hydroforni na garażu wielopoziomowym,15271073,ROZDZIELNIA GŁÓWNA (k-1),
RNNA,Meter,Submeter,electricity,S1,Licznik  odbiorów zasilania pomieszczeń teletechnicznych(KOM/IT  oraz odbiorów Echo takich jak zasilanie szaf sterowniczych na pietrach(AGR ,14470449,ROZDZIELNIA GŁÓWNA (k-1),
TR2/KOM1,Meter,Submeter,electricity,S1,Licznik gniazd UPS-owanych na powierzchni najemcy K1,14210074,K 1,
TR2/KOM2,Meter,Submeter,electricity,S1,Licznik gniazd UPS-owanych na powierzchni najemcy K2,14250051,K 2,
TR2/KOM3,Meter,Submeter,electricity,S1,Licznik gniazd UPS-owanych na powierzchni najemcy K3,14270203,K 3,
TR2/KOM4,Meter,Submeter,electricity,S1,Licznik gniazd UPS-owanych na powierzchni najemcy K4,14250065,K 4,
TR2/KOM5,Meter,Submeter,electricity,S1,Licznik gniazd UPS-owanych na powierzchni najemcy K5,14270156,K 5,
TR2/KOM6,Meter,Submeter,electricity,S1,Licznik gniazd UPS-owanych na powierzchni najemcy K6,14250080,K 6,
TR2/KOM7,Meter,Submeter,electricity,S1,Licznik gniazd UPS-owanych na powierzchni najemcy K7,14250031,K 7,
TR2/KOM8,Meter,Submeter,electricity,S1,Licznik gniazd UPS-owanych na powierzchni najemcy K8,14270215,K 8,
TR2/KOM9,Meter,Submeter,electricity,S1,Licznik gniazd UPS-owanych na powierzchni najemcy K9,14270336,K 9,
TR2/KOM10,Meter,Submeter,electricity,S1,Licznik gniazd UPS-owanych na powierzchni najemcy K10,14270101,K 10,
L42,Meter,Submeter,electricity,S2,Licznik nawiżacza parowego nr1,14390185,ROZDZIELNIA GŁÓWNA (k-1),
L43,Meter,Submeter,electricity,S2,Licznik nawilżacza parowego nr2,14390182,ROZDZIELNIA GŁÓWNA (k-1),
L47,Meter,Submeter,electricity,S2,Licznik agregatu wody lodowej,14390045,ROZDZIELNIA GŁÓWNA (k-1),
